date,symbol,name,sector,open_price,high_price,low_price,close_price,prev_close,percent_change,volume,turnover,transactions
2026-03-20,MLBSL,MLBSL,Unknown,1885.0,1920.0,1848.0,1919.9,1907.0,0.68,2336.0,4395464.7,82
2026-03-20,MMF1,MMF1,Unknown,9.45,9.63,9.32,9.43,9.45,-0.21,85978.0,806118.83,64
2026-03-20,MMKJL,MMKJL,Unknown,584.4,595.0,564.0,585.0,573.0,2.09,12887.0,7488526.5,144
2026-03-20,MNBBL,MNBBL,Unknown,387.0,402.0,387.0,400.1,385.9,3.68,206199.0,81808274.6,946
2026-03-20,MNMF1,MNMF1,Unknown,9.89,9.93,9.61,9.74,9.7,0.41,39790.0,391941.7,43
2026-03-20,MPFL,MPFL,Unknown,728.5,728.5,700.0,725.0,728.5,-0.48,59952.0,43101416.4,280
2026-03-20,MSHL,MSHL,Unknown,807.1,820.0,798.0,808.0,807.1,0.11,5759.0,4648316.5,68
2026-03-20,MSLB,MSLB,Unknown,1361.3,1361.3,1335.0,1347.8,1389.0,-2.97,4444.0,5983997.8,104
2026-03-20,NABBC,NABBC,Unknown,1436.7,1580.0,1385.0,1500.0,1466.0,2.32,77696.0,114598237.4,292
2026-03-20,NABIL,NABIL,Unknown,528.0,536.0,527.0,535.2,525.8,1.79,151867.0,80762017.0,1007
2026-03-20,NABILD2089,NABILD2089,Unknown,1056.7,1077.8,1056.7,1077.8,1078.1,-0.03,75.0,80307.5,2
2026-03-20,NADEP,NADEP,Unknown,802.0,813.0,788.3,801.3,792.0,1.17,4176.0,3347240.3,61
2026-03-20,NBF2,NBF2,Unknown,9.95,10.16,9.95,10.02,9.97,0.5,545450.0,5512420.5,25
2026-03-20,NBF3,NBF3,Unknown,9.6,10.0,9.6,9.85,9.71,1.44,164505.0,1603806.8,51
2026-03-20,NBL,NBL,Unknown,259.0,275.2,259.0,274.7,263.9,4.09,299889.0,81334813.0,886
2026-03-20,NBLD82,NBLD82,Unknown,1060.0,1060.0,1060.0,1060.0,1047.0,1.24,50.0,53000.0,1
2026-03-20,NBLD87,NBLD87,Unknown,1065.6,1076.0,1065.6,1075.1,1083.1,-0.74,75.0,80404.0,4
2026-03-20,NCCD86,NCCD86,Unknown,1120.0,1120.0,1120.0,1120.0,1114.2,0.52,25.0,28000.0,1
2026-03-20,NESDO,NESDO,Unknown,1599.0,1600.0,1556.5,1600.0,1575.0,1.59,3322.0,5281554.8,90
2026-03-20,NFS,NFS,Unknown,660.0,668.0,655.0,663.0,653.9,1.39,29626.0,19669488.6,256
2026-03-20,NGPL,NGPL,Unknown,459.0,478.0,459.0,474.0,459.0,3.27,1426082.0,671616536.7,3383
2026-03-20,NHDL,NHDL,Unknown,684.0,684.0,671.1,677.5,671.0,0.97,16961.0,11467944.8,105
2026-03-20,NHPC,NHPC,Unknown,300.0,327.4,296.0,312.0,299.2,4.28,2169302.0,669064469.9,4290
2026-03-20,NIBD84,NIBD84,Unknown,1071.5,1071.5,1071.5,1071.5,1074.9,-0.32,100.0,107150.0,1
2026-03-20,NIBLGF,NIBLGF,Unknown,9.29,9.54,9.29,9.36,9.46,-1.06,27590.0,261868.6,15
2026-03-20,NIBLSTF,NIBLSTF,Unknown,9.3,9.55,9.21,9.49,9.35,1.5,17620.0,163245.0,29
2026-03-20,NIBSF2,NIBSF2,Unknown,9.54,9.54,9.3,9.48,9.37,1.17,13550.0,126793.5,27
2026-03-20,NICA,NICA,Unknown,346.0,367.0,346.0,366.0,345.0,6.09,326932.0,116860750.4,1117
2026-03-20,NICAD2091,NICAD2091,Unknown,1085.0,1085.0,1063.3,1063.3,1086.9,-2.17,50.0,53707.5,2
2026-03-20,NICBF,NICBF,Unknown,9.79,10.16,9.79,10.16,9.98,1.8,3400.0,34261.0,6
2026-03-20,NICFC,NICFC,Unknown,9.35,9.69,9.35,9.43,9.4,0.32,10747.0,101791.21,41
2026-03-20,NICGF2,NICGF2,Unknown,9.26,9.63,9.26,9.63,9.24,4.22,54700.0,523947.5,29
2026-03-20,NICL,NICL,Unknown,523.0,526.0,516.0,525.0,515.0,1.94,48744.0,25463217.5,289
